New Claim Date,variable,value,type
2020-06-13,"$50,000 to less than $75,000",29108.0,continued
2020-06-13,"$150,000 or more ",3716.0,continued
2020-06-14,"$50,000 to less than $75,000",766.0,initial
2020-06-14,"$75,000 to less than $150,000",634.0,initial
2020-06-14,"Less than $20,000",3787.0,initial
2020-06-14,Zero,513.0,initial
2020-06-14,"$35,000 to less than $50,000",870.0,initial
2020-06-14,"$20,000 to less than $35,000",1656.0,initial
2020-06-14,"$150,000 or more ",167.0,initial
2020-06-20,"$20,000 to less than $35,000",62969.0,continued
2020-06-20,"$50,000 to less than $75,000",28474.0,continued
2020-06-20,"$75,000 to less than $150,000",16491.0,continued
2020-06-20,"$35,000 to less than $50,000",36912.0,continued
2020-06-20,"Less than $20,000",117356.0,continued
2020-06-20,Zero,2188.0,continued
2020-06-20,"$150,000 or more ",3615.0,continued
2020-06-21,"Less than $20,000",3636.0,initial
2020-06-21,"$20,000 to less than $35,000",1915.0,initial
2020-06-21,"$150,000 or more ",153.0,initial
2020-06-21,Zero,530.0,initial
2020-06-21,"$75,000 to less than $150,000",943.0,initial
2020-06-21,"$35,000 to less than $50,000",1035.0,initial
2020-06-21,"$50,000 to less than $75,000",1152.0,initial
2020-06-27,"$150,000 or more ",3670.0,continued
2020-06-27,Zero,2227.0,continued
2020-06-27,"$75,000 to less than $150,000",17210.0,continued
2020-06-27,"$50,000 to less than $75,000",28569.0,continued
2020-06-27,"$20,000 to less than $35,000",62514.0,continued
2020-06-27,"Less than $20,000",116811.0,continued
2020-06-27,"$35,000 to less than $50,000",36554.0,continued
2020-06-28,"$20,000 to less than $35,000",1404.0,initial
2020-06-28,"$35,000 to less than $50,000",968.0,initial
2020-06-28,"Less than $20,000",2808.0,initial
2020-06-28,"$75,000 to less than $150,000",690.0,initial
2020-06-28,"$50,000 to less than $75,000",1006.0,initial
2020-06-28,Zero,368.0,initial
2020-06-28,"$150,000 or more ",184.0,initial
2020-07-04,Zero,2074.0,continued
2020-07-04,"$20,000 to less than $35,000",61734.0,continued
2020-07-04,"$35,000 to less than $50,000",36027.0,continued
2020-07-04,"Less than $20,000",115501.0,continued
2020-07-04,"$50,000 to less than $75,000",28279.0,continued
2020-07-04,"$150,000 or more ",3549.0,continued
2020-07-04,"$75,000 to less than $150,000",16909.0,continued
2020-07-05,"$20,000 to less than $35,000",1973.0,initial
2020-07-05,Zero,540.0,initial
2020-07-05,"$150,000 or more ",147.0,initial
2020-07-05,"$50,000 to less than $75,000",1013.0,initial
2020-07-05,"$35,000 to less than $50,000",1110.0,initial
2020-07-05,"$75,000 to less than $150,000",754.0,initial
2020-07-05,"Less than $20,000",9658.0,initial
2020-07-11,"$35,000 to less than $50,000",35811.0,continued
2020-07-11,Zero,2081.0,continued
2020-07-11,"$50,000 to less than $75,000",28147.0,continued
2020-07-11,"$75,000 to less than $150,000",16773.0,continued
2020-07-11,"Less than $20,000",118402.0,continued
2020-07-11,"$150,000 or more ",3505.0,continued
2020-07-11,"$20,000 to less than $35,000",61269.0,continued
2020-07-12,Zero,379.0,initial
2020-07-12,"$35,000 to less than $50,000",592.0,initial
2020-07-12,"Less than $20,000",2472.0,initial
2020-07-12,"$50,000 to less than $75,000",544.0,initial
2020-07-12,"$150,000 or more ",102.0,initial
2020-07-12,"$75,000 to less than $150,000",464.0,initial
2020-07-12,"$20,000 to less than $35,000",1042.0,initial
2020-07-18,Zero,1947.0,continued
2020-07-18,"$20,000 to less than $35,000",60346.0,continued
2020-07-18,"Less than $20,000",116918.0,continued
2020-07-18,"$35,000 to less than $50,000",34968.0,continued
2020-07-18,"$150,000 or more ",3402.0,continued
2020-07-18,"$75,000 to less than $150,000",15846.0,continued
2020-07-18,"$50,000 to less than $75,000",27227.0,continued
2020-07-19,"$20,000 to less than $35,000",812.0,initial
2020-07-19,"$75,000 to less than $150,000",356.0,initial
2020-07-19,"Less than $20,000",2260.0,initial
2020-07-19,"$50,000 to less than $75,000",445.0,initial
2020-07-19,"$150,000 or more ",88.0,initial
2020-07-19,Zero,342.0,initial
2020-07-19,"$35,000 to less than $50,000",517.0,initial
2020-07-25,"$20,000 to less than $35,000",59347.0,continued
2020-07-25,"$75,000 to less than $150,000",16008.0,continued
2020-07-25,"$50,000 to less than $75,000",26719.0,continued
2020-07-25,"Less than $20,000",115289.0,continued
2020-07-25,Zero,1831.0,continued
2020-07-25,"$150,000 or more ",3399.0,continued
2020-07-25,"$35,000 to less than $50,000",34283.0,continued
2020-07-26,"Less than $20,000",2020.0,initial
2020-07-26,"$50,000 to less than $75,000",430.0,initial
2020-07-26,"$75,000 to less than $150,000",381.0,initial
2020-07-26,"$150,000 or more ",98.0,initial
2020-07-26,"$35,000 to less than $50,000",504.0,initial
2020-07-26,"$20,000 to less than $35,000",828.0,initial
2020-07-26,Zero,265.0,initial
2020-08-01,"Less than $20,000",111109.0,continued
2020-08-01,"$150,000 or more ",3223.0,continued
2020-08-01,"$75,000 to less than $150,000",14635.0,continued
2020-08-01,"$50,000 to less than $75,000",25319.0,continued
2020-08-01,"$20,000 to less than $35,000",57093.0,continued
2020-08-01,Zero,1598.0,continued
2020-08-01,"$35,000 to less than $50,000",32666.0,continued
2020-08-02,"Less than $20,000",1546.0,initial
2020-08-02,Zero,223.0,initial
2020-08-02,"$35,000 to less than $50,000",523.0,initial
2020-08-02,"$20,000 to less than $35,000",844.0,initial
2020-08-02,"$75,000 to less than $150,000",355.0,initial
2020-08-02,"$150,000 or more ",92.0,initial
2020-08-02,"$50,000 to less than $75,000",481.0,initial
2020-08-08,"$50,000 to less than $75,000",24422.0,continued
2020-08-08,"Less than $20,000",107099.0,continued
2020-08-08,"$35,000 to less than $50,000",31521.0,continued
2020-08-08,"$75,000 to less than $150,000",14147.0,continued
2020-08-08,"$20,000 to less than $35,000",55194.0,continued
2020-08-08,Zero,1446.0,continued
2020-08-08,"$150,000 or more ",3127.0,continued
2020-08-09,Zero,267.0,initial
2020-08-09,"$150,000 or more ",68.0,initial
2020-08-09,"Less than $20,000",1759.0,initial
2020-08-09,"$20,000 to less than $35,000",885.0,initial
