Town,Reg_Voters,%_Applied,%_Voted
Rocky Hill,12993.0,32.57138459170322,24.336181020549528
Roxbury,1815.0,29.862258953168045,22.203856749311296
Salem,2945.0,26.960950764006792,18.166383701188455
Salisbury,2954.0,42.857142857142854,32.09207853757617
Scotland,1199.0,12.26021684737281,8.590492076730609
Seymour,11544.0,20.417532917532917,14.457726957726958
Sharon,1767.0,34.29541595925297,25.63667232597623
Shelton,28242.0,27.912329155158982,19.45329650874584
Sherman,2786.0,29.038047379755923,19.526202440775304
Simsbury,19051.0,38.13448112959949,27.242664427064195
Somers,6418.0,28.77843564973512,19.445310065440946
Southbury,15841.0,35.660627485638535,26.95536897923111
Southington,31084.0,27.612276412302148,19.994209239480117
South Windsor,17315.0,37.02570025989027,27.063239965347964
Sprague,1925.0,16.83116883116883,12.0
Stafford,7401.0,23.253614376435618,17.267936765301986
Stamford,73191.0,33.54510800508259,22.028664726537414
Sterling,2601.0,13.341022683583237,8.919646289888504
Stonington,14397.0,33.9445717857887,25.7136903521567
Stratford,37413.0,24.95656589955363,17.80397188143159
Suffield,9847.0,31.39027114857317,23.174570935310246
Thomaston,5098.0,23.95056885052962,14.8685759121224
Thompson,6639.0,16.478385298990812,12.21569513480946
Tolland,10784.0,32.6316765578635,23.6183234421365
Torrington,21835.0,23.618044424089764,16.885733913441722
Trumbull,27198.0,30.175012868593278,17.596882123685564
Union,664.0,20.180722891566266,12.349397590361447
Vernon,18309.0,31.08307389808291,22.792069474029166
Voluntown,1745.0,17.249283667621775,11.289398280802292
Wallingford,29106.0,30.924895210609495,22.019514876657734
Warren,1095.0,21.187214611872147,12.968036529680365
Washington,2664.0,29.204204204204203,19.294294294294293
Waterbury,55294.0,17.560675661012045,11.641407747676059
Waterford,14093.0,32.299723266870075,24.529908465195486
Watertown,15024.0,20.633652822151223,13.73136315228967
Westbrook,4947.0,33.313119062057815,23.73155447746109
West Hartford,41913.0,45.40834585927994,33.03032472025386
West Haven,29226.0,23.749401218093478,16.83432560049271
Weston,7470.0,40.36144578313253,28.340026773761714
Westport,20149.0,46.90059060002978,31.9767730408457
Wethersfield,18896.0,33.107535986452156,24.85182049110923
Willington,3635.0,29.270976616231085,19.779917469050893
Wilton,13250.0,39.50188679245283,27.08679245283019
Winchester,6470.0,24.358578052550232,17.94435857805255
Windham,11809.0,22.050978067575578,15.691421796934542
Windsor,21760.0,30.66636029411765,23.276654411764707
Windsor Locks,8682.0,24.994240958304538,18.071872840359365
Wolcott,12490.0,17.285828662930346,11.601281024819857
Woodbridge,6625.0,41.9622641509434,30.656603773584905
Woodbury,8054.0,28.271666252793644,20.784703253041968
Woodstock,5990.0,29.48247078464107,20.01669449081803
