Town Name,Vote Totals,variable,value
Plainville,9647,Trump and Pence,4811
Plymouth,6593,Trump and Pence,3984
Pomfret,2524,Trump and Pence,1113
Portland,5887,Trump and Pence,2641
Preston,2868,Trump and Pence,1529
Prospect,6111,Trump and Pence,3935
Putnam,4350,Trump and Pence,2193
Redding,5975,Trump and Pence,2052
Ridgefield,16245,Trump and Pence,5689
Rocky Hill,10859,Trump and Pence,4630
Roxbury,1622,Trump and Pence,660
Salem,2623,Trump and Pence,1291
Salisbury,2555,Trump and Pence,502
Scotland,970,Trump and Pence,537
Seymour,9296,Trump and Pence,5204
Sharon,1555,Trump and Pence,510
Shelton,23008,Trump and Pence,12362
Sherman,2336,Trump and Pence,1076
Simsbury,16174,Trump and Pence,5575
Somers,5727,Trump and Pence,3204
South Windsor,15600,Trump and Pence,5628
Southbury,12990,Trump and Pence,6260
Southington,25745,Trump and Pence,13064
Sprague,1557,Trump and Pence,882
Stafford,6422,Trump and Pence,3461
Stamford,49119,Trump and Pence,16074
Sterling,1908,Trump and Pence,1229
Stonington,11889,Trump and Pence,4240
Stratford,26507,Trump and Pence,10004
Suffield,8686,Trump and Pence,4155
Thomaston,4363,Trump and Pence,2759
Thompson,5129,Trump and Pence,2995
Tolland,9257,Trump and Pence,3975
Torrington,16725,Trump and Pence,9181
Trumbull,21282,Trump and Pence,9565
Union,571,Trump and Pence,307
Vernon,15380,Trump and Pence,5836
Voluntown,1524,Trump and Pence,918
Wallingford,24513,Trump and Pence,11311
Warren,945,Trump and Pence,470
Washington,2268,Trump and Pence,770
Waterbury,35434,Trump and Pence,13990
Waterford,12316,Trump and Pence,5124
Watertown,12726,Trump and Pence,7973
West Hartford,32623,Trump and Pence,7764
West Haven,19103,Trump and Pence,7029
Westbrook,4311,Trump and Pence,1958
Weston,6527,Trump and Pence,1680
Westport,17523,Trump and Pence,4222
Wethersfield,16183,Trump and Pence,6392
Willington,3204,Trump and Pence,1445
Wilton,10919,Trump and Pence,3605
Winchester,5050,Trump and Pence,2752
Windham,5850,Trump and Pence,2072
Windsor,17512,Trump and Pence,4090
Windsor Locks,7021,Trump and Pence,3156
Wolcott,10002,Trump and Pence,6519
Woodbridge,5739,Trump and Pence,1816
Woodbury,6499,Trump and Pence,3280
Woodstock,5179,Trump and Pence,2520
